Data,Ultimo,Apertura,Massimo,Minimo,Vol.,Var. %
"20.02.2020","11,285","11,510","11,510","11,280","2,84M","-1,95%"
"19.02.2020","11,510","11,340","11,635","11,335","4,57M","1,50%"
"18.02.2020","11,340","10,880","11,400","10,880","6,06M","3,70%"
"17.02.2020","10,935","10,985","11,015","10,870","1,79M","-0,14%"
"14.02.2020","10,950","10,995","10,995","10,900","1,50M","-0,27%"
"13.02.2020","10,980","10,950","10,995","10,835","2,36M","0,05%"
"12.02.2020","10,975","11,025","11,035","10,905","2,34M","-0,54%"
"11.02.2020","11,035","10,950","11,080","10,910","2,56M","1,19%"
"10.02.2020","10,905","10,865","10,945","10,850","1,50M","0,00%"
"07.02.2020","10,905","10,790","10,945","10,730","2,70M","1,02%"
"06.02.2020","10,795","10,800","10,875","10,720","2,31M","0,65%"
"05.02.2020","10,725","10,690","10,825","10,615","2,53M","0,19%"
"04.02.2020","10,705","10,575","10,745","10,480","2,29M","1,90%"
"03.02.2020","10,505","10,400","10,520","10,180","2,80M","1,50%"
"31.01.2020","10,350","10,850","10,850","10,350","5,61M","-4,08%"
"30.01.2020","10,790","10,895","11,030","10,785","4,76M","-1,86%"
"29.01.2020","10,995","11,045","11,180","10,955","3,30M","-0,77%"
"28.01.2020","11,080","10,635","11,100","10,635","6,41M","4,18%"
"27.01.2020","10,635","10,480","10,845","10,420","6,09M","0,47%"
"24.01.2020","10,585","10,345","10,775","10,295","5,56M","3,17%"
"23.01.2020","10,260","10,280","10,335","10,220","2,41M","-0,15%"
"22.01.2020","10,275","10,430","10,440","10,275","2,44M","-1,30%"
"21.01.2020","10,410","10,320","10,415","10,235","2,33M","0,29%"
"20.01.2020","10,380","10,285","10,440","10,235","2,52M","0,92%"
"17.01.2020","10,285","10,110","10,285","10,105","2,34M","2,39%"
"16.01.2020","10,045","10,105","10,135","10,010","2,18M","-0,20%"
"15.01.2020","10,065","10,090","10,105","10,025","1,80M","0,05%"
"14.01.2020","10,060","10,200","10,210","10,015","2,57M","-0,89%"
"13.01.2020","10,150","10,220","10,260","10,115","1,57M","-0,59%"
"10.01.2020","10,210","10,295","10,340","10,210","2,12M","-0,44%"
"09.01.2020","10,255","10,220","10,320","10,150","4,96M","1,58%"
"08.01.2020","10,095","10,125","10,145","10,075","2,66M","-1,37%"
"07.01.2020","10,235","10,050","10,275","9,992","3,12M","2,58%"
"06.01.2020","9,978","10,000","10,035","9,800","2,16M","-0,86%"
"03.01.2020","10,065","10,165","10,190","9,972","2,30M","-1,28%"
"02.01.2020","10,195","10,125","10,195","10,100","1,62M","0,74%"
"30.12.2019","10,120","10,240","10,260","10,120","1,35M","-1,22%"
"27.12.2019","10,245","10,305","10,320","10,225","1,13M","-0,49%"
"23.12.2019","10,295","10,400","10,415","10,265","1,47M","-1,29%"
"20.12.2019","10,430","10,435","10,460","10,365","4,17M","1,31%"
"19.12.2019","10,295","10,255","10,365","10,240","2,35M","0,00%"
"18.12.2019","10,295","10,170","10,330","10,170","2,50M","1,28%"
"17.12.2019","10,165","10,280","10,315","10,165","3,01M","-0,93%"
"16.12.2019","10,260","10,200","10,340","10,185","2,02M","0,88%"
"13.12.2019","10,170","10,490","10,540","10,120","3,03M","-2,07%"
"12.12.2019","10,385","10,280","10,435","10,230","2,69M","1,66%"
"11.12.2019","10,215","10,320","10,325","10,205","2,27M","-1,11%"
"10.12.2019","10,330","10,180","10,330","10,105","1,95M","1,42%"
"09.12.2019","10,185","10,295","10,350","10,145","3,72M","-1,26%"
"06.12.2019","10,315","10,350","10,395","10,265","1,51M","0,15%"
"05.12.2019","10,300","10,470","10,495","10,290","1,49M","-1,81%"
"04.12.2019","10,490","10,350","10,520","10,325","2,02M","1,30%"
"03.12.2019","10,355","10,255","10,525","10,255","3,40M","1,07%"
"02.12.2019","10,245","10,600","10,655","10,245","3,74M","-3,26%"
"29.11.2019","10,590","10,630","10,705","10,560","1,91M","-0,42%"
"28.11.2019","10,635","10,770","10,800","10,605","1,96M","-1,44%"
"27.11.2019","10,790","10,885","10,940","10,775","2,20M","-0,64%"
"26.11.2019","10,860","10,935","10,985","10,860","2,84M","-0,91%"
"25.11.2019","10,960","10,970","11,030","10,930","1,79M","0,27%"
"22.11.2019","10,930","10,890","10,965","10,870","2,16M","0,83%"
"21.11.2019","10,840","10,950","10,955","10,835","2,00M","-1,23%"
"20.11.2019","10,975","10,875","10,975","10,805","2,82M","0,92%"
"19.11.2019","10,875","11,090","11,135","10,860","3,16M","-1,72%"
"18.11.2019","11,065","11,060","11,145","11,015","2,72M","-0,85%"
"15.11.2019","11,160","11,210","11,235","11,100","1,93M","0,18%"
"14.11.2019","11,140","11,100","11,195","11,070","2,65M","0,22%"
"13.11.2019","11,115","11,185","11,240","11,065","3,02M","-0,80%"
"12.11.2019","11,205","10,980","11,205","10,950","4,66M","2,14%"
"11.11.2019","10,970","10,790","10,970","10,775","2,62M","1,20%"
"08.11.2019","10,840","10,870","10,870","10,720","2,32M","-0,18%"
"07.11.2019","10,860","11,020","11,030","10,800","3,88M","-1,23%"
"06.11.2019","10,995","11,160","11,180","10,885","5,92M","-1,57%"
"05.11.2019","11,170","11,100","11,265","11,050","3,09M","0,68%"
"04.11.2019","11,095","11,030","11,125","11,025","2,50M","0,59%"
"01.11.2019","11,030","10,940","11,030","10,870","1,49M","1,38%"
"31.10.2019","10,880","10,860","10,950","10,810","2,05M","-0,27%"
"30.10.2019","10,910","10,845","10,920","10,765","1,90M","0,18%"
"29.10.2019","10,890","10,845","10,965","10,830","2,88M","-0,18%"
"28.10.2019","10,910","10,860","10,910","10,740","1,73M","0,46%"
"25.10.2019","10,860","10,990","10,990","10,820","1,99M","-1,18%"
"24.10.2019","10,990","11,010","11,030","10,935","2,87M","0,37%"
"23.10.2019","10,950","10,950","10,995","10,755","2,84M","0,23%"
"22.10.2019","10,925","11,000","11,070","10,860","2,95M","1,16%"
